# Global options shall be first as the configure numbr of boards. Etc;;;;;;;;;;;;;;;;
gOptHeader;maxSlaveBrds;troubleLatch;tamperBpsOpt;tamperOpts;antiMaskOpt;rfSprvsOpt;restrOnTamper;restrOnBell;restrOnBatFail;restrOnBrdFail;restrOnAntimask;restrOnACfail;restrOnSprvsLoss;;;
globalOpt;0;TRUE;FALSE;DISABLE;TROUBLE_ONLY;ALARM_WHEN_ARMED;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;;;
#;;;;;;;;;;;;;;;;
zHeader;zoneID;zoneType;zonePartition;ALARM_TYPE;BYPASS_EN;FORCE_EN;zoneName;boardID;SHUTDWN_EN;INTELIZONE;DELAY_TRM;TAMPER_GLOBAL;ZONE_TAMPER_OPT;ANTIMASK_GLOBAL;ZONE_ANTIMASK_OPT;
zone    ;0;STAY;0;STEADY_ALARM;TRUE;TRUE;MASTER_ZONE1;0;TRUE;TRUE;TRUE;TRUE;DISABLE;TRUE;TROUBLE_ONLY;
zone;1;STAY;0;PULSED_ALARM;FALSE;TRUE;MASTER_ZONE2;0;FALSE;FALSE;FALSE;FALSE;TROUBLE_ONLY;FALSE;TROUBLE_ONLY;
zone;2;STAY_DELAY1;0;SILENT_ALARM;TRUE;FALSE;MASTER_ZONE3;0;FALSE;FALSE;FALSE;TRUE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;
zone;3;STAY_DELAY2_ANTI_MASK;0;REPORT_ALARM;FALSE;FALSE;MASTER_ZONE4;0;FALSE;FALSE;FALSE;FALSE;ALARM;TRUE;ALARM;
zone;4;INSTANT;0;STEADY_ALARM;TRUE;TRUE;MASTER_ZONE5;0;FALSE;FALSE;FALSE;TRUE;DISABLE;FALSE;DISABLE;
zone;5;INSTANT;0;PULSED_ALARM;FALSE;TRUE;MASTER_ZONE6;0;FALSE;FALSE;FALSE;TRUE;TROUBLE_ONLY;TRUE;TROUBLE_ONLY;
zone;6;INSTANT;0;SILENT_ALARM;TRUE;FALSE;MASTER_ZONE7;0;FALSE;FALSE;FALSE;TRUE;ALARM_WHEN_ARMED;FALSE;ALARM_WHEN_ARMED;
zone;7;INSTANT;0;REPORT_ALARM;FALSE;FALSE;MASTER_ZONE8;0;FALSE;FALSE;FALSE;FALSE;ALARM;TRUE;ALARM;
zone;8;ENTRY_DELAY2;0;STEADY_ALARM;TRUE;TRUE;MASTER_ZONE9;0;FALSE;FALSE;FALSE;TRUE;DISABLE;TRUE;DISABLE;
zone;9;FOLLOW;0;PULSED_ALARM;FALSE;TRUE;MASTER_ZONE10;0;FALSE;FALSE;FALSE;FALSE;TROUBLE_ONLY;TRUE;TROUBLE_ONLY;
zone;10;H24_HOLDUP;2;SILENT_ALARM;FALSE;TRUE;MASTER_ZONE11;0;FALSE;FALSE;FALSE;TRUE;ALARM_WHEN_ARMED;FALSE;ALARM_WHEN_ARMED;
