# Global options shall be first as the configure numbr of boards. Etc;;;;;;;;;;;;;;;;;;;
gOptHeader;#;maxSlaveBrds;#;troubleLatch;tamperBpsOpt;tamperOpts;antiMaskOpt;rfSprvsOpt;restrOnTamper;restrOnBell;restrOnBatFail;restrOnBrdFail;restrOnAntimask;restrOnACfail;restrOnSprvsLoss;;;;
globalOpt;;0;;FALSE;TRUE;ALARM_WHEN_ARMED;TROUBLE_ONLY;ALARM_WHEN_ARMED;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;;;;
#;;;;;;;;;;;;;;;;;;;
#Pdox titles;;Label;;;Input No;Zone Type;Area assignment;Alarm Type;Bypass;Stay;Force;Zone tampered follow panel;Zone tamper supervision;Anti mask  follow panel;Anti-mask supervision;Module;Auto shutdown;Intellizone;Delay before TRM
zHeader;#;zoneName;#PdxIn;#BrdLabel;zoneID;zoneType;zonePartition;ALARM_TYPE;BYPASS_EN;STAY_ZONE;FORCE_EN;TAMPER_GLOBAL;ZONE_TAMPER_OPT;ANTIMASK_GLOBAL;ZONE_ANTIMASK_OPT;boardID;SHUTDWN_EN;INTELIZONE;DELAY_TRM
# Master;;;;;;;;;;;;;;;;;;;
zone;0;Z_0_INS_B_!S_F;1;Z1;0;INSTANT;0;STEADY_ALARM;TRUE;FALSE;TRUE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;1;Z_1_ED1_B_!S_F;9;Z1;1;ENTRY_DELAY1;0;STEADY_ALARM;TRUE;FALSE;TRUE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;2;Z_2_INS_B_S_F;2;Z2;2;INSTANT;0;STEADY_ALARM;TRUE;TRUE;TRUE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;3;Z_3_SD1_B_!S_!F;10;Z2;3;STAY_DELAY1;0;STEADY_ALARM;TRUE;FALSE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;4;Z_3_SD1_B_S_!F;3;Z3;4;INSTANT;0;STEADY_ALARM;TRUE;TRUE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;5;Vhodno_antre;11;Z3;5;FOLLOW;0;STEADY_ALARM;TRUE;TRUE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;6;Holl_PIR;4;Z1A;6;INSTANT;0;STEADY_ALARM;TRUE;TRUE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;7;Kuhnia_PIR;12;Z1A;7;INSTANT;0;STEADY_ALARM;TRUE;TRUE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;8;Holl_vrata_MUK_R;5;Z2A;8;INSTANT;0;STEADY_ALARM;TRUE;TRUE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;9;Holl_vrata_MUK_L;13;Z2A;9;INSTANT;0;STEADY_ALARM;TRUE;TRUE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
