# Global options shall be first as the configure numbr of boards. Etc;;;;;;;;;;;;;;;;;;;
gOptHeader;#;maxSlaveBrds;#;troubleLatch;tamperBpsOpt;tamperOpts;antiMaskOpt;rfSprvsOpt;restrOnTamper;restrOnBell;restrOnBatFail;restrOnBrdFail;restrOnAntimask;restrOnACfail;restrOnSprvsLoss;;;;
globalOpt;;2;;FALSE;FALSE;ALARM_WHEN_ARMED;TROUBLE_ONLY;ALARM_WHEN_ARMED;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;;;;
#
zHeader;zoneName;	zoneID;	zoneType;	zonePartition;	ALARM_TYPE;		BYPASS_EN;	STAY_ZONE;	FORCE_EN;	boardID;	SHUTDWN_EN;	INTELIZONE;	DELAY_TRM;	TAMPER_GLOBAL;	ZONE_TAMPER_OPT;	ANTIMASK_GLOBAL;	ZONE_ANTIMASK_OPT
# newTest1 settings
zone;	1_ED1_!S_!B_!F;	0;		ENTRY_DELAY1;	0;			STEADY_ALARM;	FALSE;		FALSE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	1_I_!S_B_!F;	1;		INSTANT;		0;			STEADY_ALARM;	TRUE;		FALSE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	1_I_!S_!B_F;	2;		INSTANT;		0;			STEADY_ALARM;	FALSE;		FALSE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	1_I_!S_B_F;		3;		INSTANT;		0;			STEADY_ALARM;	TRUE;		FALSE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	1_I_S_!B_!F;	4;		INSTANT;		0;			STEADY_ALARM;	FALSE;		TRUE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	1_I_S_B_!F;		5;		INSTANT;		0;			STEADY_ALARM;	TRUE;		TRUE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	1_I_S_!B_F;		6;		INSTANT;		0;			STEADY_ALARM;	FALSE;		TRUE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	1_I_S_B_F;		7;		INSTANT;		0;			STEADY_ALARM;	TRUE;		TRUE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
# newTest00 settings
